	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
3	5	Spectrogram 1	1	166.299154908	166.571636558	633.2	1163.6	C
10	12	Spectrogram 1	1	21.663642325	21.806363344	498.7	1116.1	C
11	13	Spectrogram 1	1	22.220254301	22.405791627	419.5	1108.2	C
15	17	Spectrogram 1	1	44.477156319	44.5723036	395.8	1282.3	C
16	18	Spectrogram 1	1	45.143187282	45.304937659	364.1	1250.6	C
21	23	Spectrogram 1	1	79.754036989	79.944331549	609.5	1298.1	C
22	24	Spectrogram 1	1	92.845370044	92.959546781	395.8	1306.0	C
23	25	Spectrogram 1	1	95.736914645	95.860606109	649.1	1424.8	C
25	27	Spectrogram 1	1	102.949078497	103.082284689	474.9	1781.0	C
26	28	Spectrogram 1	1	103.672197827	103.786374564	364.1	1749.3	C
36	38	Spectrogram 1	1	161.933863265	162.05755473	459.1	1219.0	C
37	39	Spectrogram 1	1	171.603837853	171.81316187	340.4	1385.2	C
40	42	Spectrogram 1	1	194.208966223	194.437319696	467.0	1361.4	C
41	43	Spectrogram 1	1	194.894026641	195.055777018	443.3	1329.8	C
46	48	Spectrogram 1	1	201.286991159	201.448741536	291.0	1074.6	C
50	52	Spectrogram 1	1	216.641896765	216.765588229	414.2	1063.4	C
51	53	Spectrogram 1	1	222.036747562	222.18898321	447.8	1074.6	C
52	54	Spectrogram 1	1	225.518205301	225.613352581	369.4	962.7	C
55	57	Spectrogram 1	1	234.851220782	234.993941702	347.0	1052.2	C
61	63	Spectrogram 1	1	259.135234063	259.277954983	526.1	1231.3	C
62	64	Spectrogram 1	1	259.649029377	259.772720841	324.6	1320.9	C
64	66	Spectrogram 1	1	274.805058417	274.947779337	358.2	1242.5	C
65	67	Spectrogram 1	1	275.375009376	275.527245025	425.4	1298.5	C
66	68	Spectrogram 1	1	276.735615485	276.897365862	324.6	1332.1	C
67	69	Spectrogram 1	1	277.306499167	277.43970536	358.2	1343.3	C
71	73	Spectrogram 1	1	291.663291052	291.815526701	347.0	1444.0	C
79	81	Spectrogram 1	1	348.95445423	349.154263519	335.8	1242.5	C
82	84	Spectrogram 1	1	356.765113225	356.926863602	358.2	1813.4	C
84	86	Spectrogram 1	1	371.692788792	371.835509713	369.4	1186.6	C
85	87	Spectrogram 1	1	371.12190511	371.331229127	503.7	1388.1	C
86	88	Spectrogram 1	1	370.398785779	370.579565612	459.0	1332.1	C
88	90	Spectrogram 1	1	384.821248038	384.982998414	335.8	1287.3	C
91	93	Spectrogram 1	1	416.274140759	416.407346951	470.1	1253.7	C
92	94	Spectrogram 1	1	417.539599588	417.62523214	514.9	1231.3	C
95	97	Spectrogram 1	1	436.900205697	437.004867705	459.0	1164.2	C
96	98	Spectrogram 1	1	437.309339003	437.442545195	324.6	1153.0	C
103	105	Spectrogram 1	1	480.130466282	480.225613562	488.9	1377.8	C
104	106	Spectrogram 1	1	485.36263398	485.486325444	500.0	1855.6	C
105	107	Spectrogram 1	1	485.971576574	486.161871135	411.1	1866.7	C
106	108	Spectrogram 1	1	486.827902097	486.942078834	333.3	1966.7	C
107	109	Spectrogram 1	1	487.5415067	487.665198164	244.4	2022.2	C
108	110	Spectrogram 1	1	488.131419838	488.321714399	277.8	1844.4	C
110	112	Spectrogram 1	1	496.551021428	496.655683436	466.7	1322.2	C
111	113	Spectrogram 1	1	497.064816742	497.178993478	377.8	1322.2	C
112	114	Spectrogram 1	1	497.626185696	497.730847705	500.0	1366.7	C
119	121	Spectrogram 1	1	516.511055404	516.663291052	288.9	1700.0	C
121	123	Spectrogram 1	1	517.843117329	518.08098553	300.0	1288.9	C
124	126	Spectrogram 1	1	523.817433813	523.988698918	300.0	1188.9	C
126	128	Spectrogram 1	1	525.882129797	525.986791805	311.1	1211.1	C
128	130	Spectrogram 1	1	536.774627954	536.917348874	400.0	1566.7	C
133	135	Spectrogram 1	1	546.688041845	546.792703853	400.0	1133.3	C
134	136	Spectrogram 1	1	549.904019922	549.980137746	300.0	1100.0	C
135	137	Spectrogram 1	1	566.45778126	566.60050218	322.2	1600.0	C
138	140	Spectrogram 1	1	572.509148291	572.642354484	288.9	1422.2	C
144	146	Spectrogram 1	1	607.900205697	608.023897161	577.8	1400.0	C
145	147	Spectrogram 1	1	608.433030467	608.585266116	433.3	1400.0	C
148	150	Spectrogram 1	1	617.204676994	617.299824275	322.2	1555.6	C
149	151	Spectrogram 1	1	617.604295572	617.75653122	366.7	1777.8	C
151	153	Spectrogram 1	1	618.459688372	618.535806196	255.6	1588.9	C
152	154	Spectrogram 1	1	619.135234063	619.268440255	300.0	1622.2	C
153	155	Spectrogram 1	1	619.763206113	619.953500674	344.4	1766.7	C
156	158	Spectrogram 1	1	644.119044442	644.204676994	633.3	1266.7	C
165	167	Spectrogram 1	1	724.976323521	725.061956074	344.4	1811.1	C
166	168	Spectrogram 1	1	719.590987452	719.752737829	444.4	1666.7	C
167	169	Spectrogram 1	1	720.228474231	720.333136239	522.2	1455.6	C
169	171	Spectrogram 1	1	726.840277494	726.982998414	477.8	1677.8	C
170	172	Spectrogram 1	1	727.373102264	727.458734816	377.8	1266.7	C
173	175	Spectrogram 1	1	746.476810716	746.667105277	366.7	1088.9	C
176	178	Spectrogram 1	1	743.717539585	743.860260506	222.2	955.6	C
180	182	Spectrogram 1	1	774.904019922	775.037226114	300.0	1388.9	C
198	201	Spectrogram 1	1	880.791742884	880.991552173	511.1	1177.8	C
199	202	Spectrogram 1	1	881.400685478	881.600494767	577.8	1222.2	C
201	204	Spectrogram 1	1	882.694688491	882.837409412	433.3	1355.6	C
202	205	Spectrogram 1	1	883.094307069	883.151395437	355.6	1111.1	C
209	212	Spectrogram 1	1	939.929696024	940.081931672	466.7	1200.0	C
210	213	Spectrogram 1	1	940.414947154	940.52912389	444.4	1266.7	C
215	218	Spectrogram 1	1	971.495832758	971.705156775	500.0	1055.6	C
223	226	Spectrogram 1	1	1022.375934685	1022.604288158	88.9	1088.9	C
226	229	Spectrogram 1	1	1046.026750416	1046.159956609	511.1	1200.0	C
227	230	Spectrogram 1	1	1046.426368994	1046.673751923	444.4	1188.9	C
228	231	Spectrogram 1	1	1048.367373513	1048.548153346	422.2	1155.6	C
229	232	Spectrogram 1	1	1049.375934685	1049.528170334	511.1	1266.7	C
230	233	Spectrogram 1	1	1060.526263222	1060.707043054	244.4	1000.0	C
237	241	Spectrogram 1	1	1075.510094434	1075.690874267	444.4	1022.2	C
238	242	Spectrogram 1	1	1076.356905229	1076.556714518	377.8	1133.3	C
242	246	Spectrogram 1	1	1088.686127319	1088.7812746	344.4	944.4	C
243	247	Spectrogram 1	1	1089.390217194	1089.551967571	411.1	1055.6	C
244	248	Spectrogram 1	1	1091.407339538	1091.512001546	544.4	1155.6	C
245	249	Spectrogram 1	1	1093.462520794	1093.567182802	466.7	1088.9	C
246	250	Spectrogram 1	1	1096.1456741	1096.269365565	422.2	1066.7	C
247	251	Spectrogram 1	1	1096.734654516	1096.829801796	344.4	1122.2	C
248	252	Spectrogram 1	1	1097.24844983	1097.353111838	400.0	1122.2	C
249	253	Spectrogram 1	1	1107.333128826	1107.485364474	477.8	977.8	C
250	254	Spectrogram 1	1	1107.780321043	1107.923041964	577.8	1155.6	C
251	255	Spectrogram 1	1	1108.265572173	1108.398778366	488.9	1066.7	C
252	256	Spectrogram 1	1	1118.787928659	1118.940164308	633.3	1188.9	C
254	258	Spectrogram 1	1	1128.672798367	1128.891637111	366.7	1522.2	C
255	259	Spectrogram 1	1	1129.557668074	1129.690874267	466.7	1633.3	C
256	260	Spectrogram 1	1	1130.994392008	1131.17517184	500.0	1488.9	C
259	263	Spectrogram 1	1	1141.469174853	1141.659469414	577.8	1222.2	C
261	265	Spectrogram 1	1	1145.987737948	1146.206576693	300.0	2077.8	C
264	268	Spectrogram 1	1	1161.199922633	1161.36167301	266.7	1944.4	C
266	270	Spectrogram 1	1	1183.100961128	1183.224652593	522.2	1222.2	C
267	271	Spectrogram 1	1	1194.270319121	1194.422554769	411.1	1277.8	C
268	272	Spectrogram 1	1	1194.089539288	1194.241774937	422.2	1177.8	C
271	275	Spectrogram 1	1	1196.68885381	1196.841089458	400.0	1122.2	C
273	277	Spectrogram 1	1	1195.0903795	1195.195041508	400.0	1055.6	C
274	278	Spectrogram 1	1	1195.290188788	1195.413880253	400.0	1055.6	C
275	279	Spectrogram 1	1	1195.689807366	1195.823013559	333.3	1011.1	C
276	280	Spectrogram 1	1	1199.21025674	1199.30540402	400.0	1222.2	C
