	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
3	4	Spectrogram 1	1	594.486290445	596.035996379	174.1	1393.1	B
9	10	Spectrogram 1	1	606.535441579	608.17729219	102.9	799.5	B
17	19	Spectrogram 1	1	5.537057417	6.860590052	269.1	728.2	B
19	21	Spectrogram 1	1	10.172750436	12.660656719	182.1	997.3	B
40	42	Spectrogram 1	1	46.367089482	47.303599599	67.2	929.1	B
83	87	Spectrogram 1	1	163.511748007	165.847641058	162.2	1317.6	B
88	92	Spectrogram 1	1	198.39224166	200.082265665	81.1	1216.2	B
89	93	Spectrogram 1	1	200.706605743	203.76371923	121.6	1175.7	B
99	103	Spectrogram 1	1	229.665741851	231.947923401	40.5	1074.3	B
121	126	Spectrogram 1	1	264.492524003	265.536678961	121.6	1135.1	B
132	137	Spectrogram 1	1	286.99207836	288.499106135	60.8	1013.5	B
162	168	Spectrogram 1	1	334.404214086	335.394546624	90.0	990.0	B
175	181	Spectrogram 1	1	355.267566858	356.21484146	150.0	915.0	B
177	183	Spectrogram 1	1	360.412990262	361.252620022	120.0	840.0	B
182	188	Spectrogram 1	1	373.579736898	374.333250785	150.0	930.0	B
202	208	Spectrogram 1	1	399.320292257	402.495815069	45.0	1140.0	B
216	223	Spectrogram 1	1	430.938367644	431.874877761	214.3	733.1	B
221	228	Spectrogram 1	1	451.856434123	454.138504754	112.8	1590.2	B
241	248	Spectrogram 1	1	508.321500984	510.30216606	124.1	1500.0	B
246	253	Spectrogram 1	1	520.120266852	521.239773199	11.3	879.7	B
255	262	Spectrogram 1	1	541.759553766	543.514164676	112.8	766.9	B
265	272	Spectrogram 1	1	550.232094045	552.654102969	67.7	834.6	B
273	280	Spectrogram 1	1	563.656297013	564.948035106	78.9	857.1	B
281	289	Spectrogram 1	1	576.660685101	577.555028568	101.5	778.2	B
282	290	Spectrogram 1	1	577.996372417	578.92211805	112.8	812.0	B
325	334	Spectrogram 1	1	688.648842452	692.071948398	183.2	835.9	B
363	373	Spectrogram 1	1	781.887855146	785.204207538	126.0	824.4	B
364	374	Spectrogram 1	1	785.580964482	786.62511944	183.2	847.3	B
368	378	Spectrogram 1	1	792.674759508	793.611269626	114.5	858.8	B
372	382	Spectrogram 1	1	800.253847606	801.610172604	68.7	709.9	B
374	384	Spectrogram 1	1	803.677844839	804.646648408	103.1	675.6	B
375	385	Spectrogram 1	1	805.389397812	806.272085508	103.1	938.9	B
385	395	Spectrogram 1	1	820.902801983	821.957721425	91.6	709.9	B
398	408	Spectrogram 1	1	867.280655949	869.304378961	45.8	1053.4	B
400	410	Spectrogram 1	1	870.596117054	871.145105743	114.5	1007.6	B
408	418	Spectrogram 1	1	880.414217846	882.104241851	103.1	790.1	B
410	420	Spectrogram 1	1	887.950248007	892.901910697	194.7	790.1	B
413	423	Spectrogram 1	1	897.100950785	901.385215459	57.3	835.9	B
415	425	Spectrogram 1	1	902.118091665	903.44212321	91.6	801.5	B
416	426	Spectrogram 1	1	905.907190071	909.23341566	194.7	938.9	B
421	431	Spectrogram 1	1	929.365674799	932.229027572	57.3	1110.7	B
423	433	Spectrogram 1	1	935.221554154	937.546682721	160.3	893.1	B
428	438	Spectrogram 1	1	946.709041269	947.903899005	251.9	778.6	B
429	439	Spectrogram 1	1	948.818880154	949.357104359	103.1	767.2	B
430	440	Spectrogram 1	1	950.25055654	950.98254146	194.7	687.0	B
438	448	Spectrogram 1	1	974.979250394	976.001876384	171.8	801.5	B
439	449	Spectrogram 1	1	977.347436897	978.100950785	137.4	778.6	B
440	450	Spectrogram 1	1	978.886758125	980.275376574	148.9	847.3	B
460	470	Spectrogram 1	1	1037.570199998	1038.571297019	148.9	916.0	B
462	472	Spectrogram 1	1	1041.230124594	1042.414217846	160.3	916.0	B
470	480	Spectrogram 1	1	1054.85885276	1057.443220232	148.9	721.4	B
477	487	Spectrogram 1	1	1076.175205151	1077.144008721	114.5	847.3	B
480	490	Spectrogram 1	1	1078.597214076	1080.125770819	45.8	938.9	B
481	491	Spectrogram 1	1	1080.696288477	1082.04184899	57.3	847.3	B
482	492	Spectrogram 1	1	1082.828547616	1084.163343645	114.5	767.2	B
488	498	Spectrogram 1	1	1091.430261704	1093.766154755	80.2	916.0	B
490	500	Spectrogram 1	1	1097.3937859	1099.428273396	160.3	824.4	B
498	508	Spectrogram 1	1	1130.638077968	1131.789877768	126.0	721.4	B
499	509	Spectrogram 1	1	1132.952442051	1133.878187684	80.2	732.8	B
501	511	Spectrogram 1	1	1135.277570618	1136.052613474	171.8	698.5	B
505	515	Spectrogram 1	1	1138.4647492	1139.821074198	103.1	790.1	B
513	523	Spectrogram 1	1	1146.700470829	1147.819977176	126.0	698.5	B
514	524	Spectrogram 1	1	1148.455081738	1149.811406736	114.5	847.3	B
517	527	Spectrogram 1	1	1152.23341566	1153.611269626	171.8	813.0	B
