	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
1	3	Spectrogram 1	1	6.887730575	8.704274903	593.7	1559.3	D
5	7	Spectrogram 1	1	173.078620699	177.78879778	459.1	1195.2	D
13	15	Spectrogram 1	1	41.337296067	43.668404436	498.7	1084.4	D
19	21	Spectrogram 1	1	60.336342511	65.369633643	538.2	1219.0	D
24	26	Spectrogram 1	1	97.183153306	97.839669541	601.6	1044.8	D
35	37	Spectrogram 1	1	152.952892721	155.084191801	379.9	1282.3	D
60	62	Spectrogram 1	1	253.969669462	254.835509713	56.0	1097.0	D
70	72	Spectrogram 1	1	283.852632057	291.396878667	335.8	1320.9	D
76	78	Spectrogram 1	1	305.648075821	307.332182683	403.0	1276.1	D
90	92	Spectrogram 1	1	412.791750297	413.36263398	481.3	1007.5	D
99	101	Spectrogram 1	1	469.874522181	470.597641512	288.9	1988.9	D
102	104	Spectrogram 1	1	480.492025948	481.54816076	344.4	1311.1	D
113	115	Spectrogram 1	1	501.345511636	504.380709879	300.0	1366.7	D
115	117	Spectrogram 1	1	507.492025948	507.872615069	455.6	1111.1	D
120	122	Spectrogram 1	1	517.234174734	517.614763856	333.3	1244.4	D
132	134	Spectrogram 1	1	538.725147201	542.426376407	344.4	1200.0	D
136	138	Spectrogram 1	1	569.883083353	572.623325028	344.4	833.3	D
141	143	Spectrogram 1	1	598.081939086	599.813619588	322.2	1322.2	D
147	149	Spectrogram 1	1	615.882129797	616.73845532	277.8	1511.1	D
159	161	Spectrogram 1	1	656.657590549	658.436844692	388.9	1544.4	D
163	165	Spectrogram 1	1	690.031525611	693.076238582	466.7	1155.6	D
175	177	Spectrogram 1	1	740.892598081	742.719425864	344.4	1033.3	D
177	179	Spectrogram 1	1	759.568143772	762.507262012	288.9	1188.9	D
183	185	Spectrogram 1	1	784.474903604	785.816480257	388.9	1222.2	D
195	197	Spectrogram 1	1	866.46443532	867.863100341	400.0	1055.6	D
197	200	Spectrogram 1	1	873.904012508	876.577651086	322.2	1166.7	D
207	210	Spectrogram 1	1	930.815519287	931.43397661	300.0	1088.9	D
224	227	Spectrogram 1	1	1029.739401463	1035.580511755	422.2	911.1	D
253	257	Spectrogram 1	1	1122.003906736	1122.574790418	411.1	1155.6	D
265	269	Spectrogram 1	1	1164.082885228	1164.853578199	411.1	1222.2	D
