	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
1	2	Spectrogram 1	1	72.745940691	72.875338566	0.0	379.9	G
14	15	Spectrogram 1	1	155.470955459	155.66125002	0.0	383.6	G
28	29	Spectrogram 1	1	371.090366338	371.423381819	0.0	227.0	G
30	31	Spectrogram 1	1	374.571824076	374.89532483	0.0	227.0	G
41	42	Spectrogram 1	1	743.695515541	743.89532483	93.9	336.6	G
50	51	Spectrogram 1	1	1009.405305919	1009.652688848	0.0	422.7	G
51	52	Spectrogram 1	1	1027.528997383	1027.852498137	0.0	532.3	G
54	55	Spectrogram 1	1	1061.816346337	1062.082758722	0.0	360.1	G
55	56	Spectrogram 1	1	1062.701216044	1062.901025333	0.0	344.4	G
56	57	Spectrogram 1	1	1063.481423743	1063.624144664	0.0	407.0	G
61	62	Spectrogram 1	1	1157.419588428	1157.686000813	0.0	409.6	G
