	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
3	4	Spectrogram 1	1	20.801083413	21.090325722	0.0	395.8	G
5	6	Spectrogram 1	1	37.82679353	37.994249604	0.0	633.2	G
8	9	Spectrogram 1	1	61.101659848	61.368067238	0.0	379.9	G
38	39	Spectrogram 1	1	313.307311132	313.469061509	0.0	348.3	G
62	63	Spectrogram 1	1	452.787815315	452.968595147	0.0	427.4	G
71	72	Spectrogram 1	1	499.966688035	500.147467868	0.0	300.8	G
74	75	Spectrogram 1	1	518.033291131	518.176012052	23.7	277.0	G
75	76	Spectrogram 1	1	534.349184269	534.482390461	7.9	562.0	G
84	85	Spectrogram 1	1	559.351091381	559.636533222	47.5	372.0	G
88	89	Spectrogram 1	1	594.913413892	595.132252636	0.0	379.9	G
99	100	Spectrogram 1	1	666.342530209	666.542339498	15.8	538.2	G
128	129	Spectrogram 1	1	801.951472804	802.11322318	0.0	435.3	G
134	135	Spectrogram 1	1	857.169357992	857.426255649	0.0	364.1	G
135	136	Spectrogram 1	1	862.821106446	862.973342095	0.0	277.0	G
176	177	Spectrogram 1	1	1118.492858746	1118.607035482	0.0	759.9	G
181	182	Spectrogram 1	1	1169.791608706	1169.934329627	0.0	324.5	G
