	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
7	8	Spectrogram 1	1	604.055912086	604.617156937	197.9	712.4	A
14	16	Spectrogram 1	1	609.680066187	610.031891318	79.2	1044.8	A
21	23	Spectrogram 1	1	14.319260908	14.922389703	237.5	870.7	A
37	39	Spectrogram 1	1	38.22824821	38.744943447	190.3	985.1	A
39	41	Spectrogram 1	1	40.015152572	40.63949265	223.9	917.9	A
48	50	Spectrogram 1	1	93.127205949	93.407082536	130.4	826.1	A
67	69	Spectrogram 1	1	143.100397607	143.304922805	115.9	768.1	A
76	80	Spectrogram 1	1	27.161467262	27.495166269	445.9	1114.9	A
85	89	Spectrogram 1	1	184.665741851	184.924089469	304.1	1013.5	A
100	104	Spectrogram 1	1	228.675409313	229.149046613	60.8	1297.3	A
101	105	Spectrogram 1	1	227.706605743	228.115656139	0.0	1500.0	A
103	108	Spectrogram 1	1	226.54404146	227.103794633	0.0	1682.4	A
105	110	Spectrogram 1	1	232.066332726	232.324680345	141.9	770.3	A
114	119	Spectrogram 1	1	248.161019039	248.494718047	81.1	790.5	A
116	121	Spectrogram 1	1	249.65728233	250.02327479	0.0	932.4	A
123	128	Spectrogram 1	1	267.894100981	268.615321416	0.0	932.4	A
146	152	Spectrogram 1	1	315.477577166	315.768218237	121.6	891.9	A
147	153	Spectrogram 1	1	313.690672805	314.024371812	0.0	1155.4	A
148	154	Spectrogram 1	1	313.012510306	313.303151377	101.4	912.2	A
173	179	Spectrogram 1	1	350.907059509	351.391461294	90.0	1080.0	A
178	184	Spectrogram 1	1	370.295677959	370.543261093	225.0	840.0	A
184	190	Spectrogram 1	1	375.312818839	375.560401973	90.0	855.0	A
195	201	Spectrogram 1	1	389.426840076	389.642129758	150.0	945.0	A
203	210	Spectrogram 1	1	409.160033722	409.429145825	225.6	755.6	A
208	215	Spectrogram 1	1	416.534596622	416.975940471	112.8	789.5	A
242	249	Spectrogram 1	1	506.92211805	507.212759121	78.9	1060.2	A
245	252	Spectrogram 1	1	516.654102969	517.235385111	90.2	1037.6	A
249	256	Spectrogram 1	1	530.455062881	530.777997404	90.2	744.4	A
275	282	Spectrogram 1	1	568.027568847	568.511970632	135.3	744.4	A
279	287	Spectrogram 1	1	575.519649786	575.853348793	191.7	744.4	A
280	288	Spectrogram 1	1	576.208576769	576.520746808	146.6	789.5	A
291	300	Spectrogram 1	1	617.779113283	618.102047807	194.7	721.4	A
296	305	Spectrogram 1	1	628.770542843	629.082712882	160.3	732.8	A
305	314	Spectrogram 1	1	649.279558927	649.634786902	206.1	1007.6	A
311	320	Spectrogram 1	1	657.945859919	658.18267857	217.6	1122.1	A
316	325	Spectrogram 1	1	673.964303557	674.330296017	183.2	996.2	A
343	353	Spectrogram 1	1	747.610172604	747.933107127	217.6	767.2	A
344	354	Spectrogram 1	1	748.299099587	748.600505142	91.6	801.5	A
350	360	Spectrogram 1	1	758.139620633	758.441026188	263.4	778.6	A
351	361	Spectrogram 1	1	758.828547616	759.194540076	114.5	835.9	A
352	362	Spectrogram 1	1	762.294711499	762.40235634	137.4	732.8	A
376	386	Spectrogram 1	1	807.886758125	808.231221616	137.4	732.8	A
397	407	Spectrogram 1	1	859.604687494	859.863035112	148.9	824.4	A
399	409	Spectrogram 1	1	869.79954523	870.240889078	68.7	961.8	A
405	415	Spectrogram 1	1	875.570199998	875.817783132	91.6	1019.1	A
411	421	Spectrogram 1	1	893.699373807	893.968485909	137.4	664.1	A
412	422	Spectrogram 1	1	894.162246623	894.323713885	183.2	755.7	A
422	432	Spectrogram 1	1	932.702664873	933.100950785	160.3	1007.6	A
435	445	Spectrogram 1	1	973.288335102	973.4928603	251.9	927.5	A
448	458	Spectrogram 1	1	1000.848979562	1001.171914086	160.3	790.1	A
451	461	Spectrogram 1	1	1004.06756031	1004.508904159	160.3	1053.4	A
465	475	Spectrogram 1	1	1044.707052961	1045.223748198	114.5	1030.5	A
472	482	Spectrogram 1	1	1058.98254146	1059.531530149	103.1	595.4	A
478	488	Spectrogram 1	1	1075.217166066	1075.529336105	114.5	881.7	A
486	496	Spectrogram 1	1	1089.986929547	1090.25604165	160.3	893.1	A
493	503	Spectrogram 1	1	1103.734958325	1104.068657332	183.2	904.6	A
500	510	Spectrogram 1	1	1134.405647406	1134.83622677	137.4	698.5	A
504	514	Spectrogram 1	1	1137.818880154	1138.109521225	114.5	687.0	A
507	517	Spectrogram 1	1	1141.263515068	1141.489569235	171.8	801.5	A
508	518	Spectrogram 1	1	1142.006264472	1142.21078967	137.4	698.5	A
509	519	Spectrogram 1	1	1142.705955939	1142.953539073	148.9	709.9	A
510	520	Spectrogram 1	1	1143.351824985	1143.685523992	137.4	904.6	A
511	521	Spectrogram 1	1	1144.191454745	1144.503624785	103.1	801.5	A
512	522	Spectrogram 1	1	1145.78548968	1146.011543846	206.1	732.8	A
520	530	Spectrogram 1	1	1160.060086892	1160.318434511	251.9	893.1	A
