	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
0	1	Spectrogram 1	1	9.441475103	9.753552331	118.7	1060.7	A
7	8	Spectrogram 1	1	47.717355376	47.945704567	150.4	783.6	A
24	25	Spectrogram 1	1	191.188387448	191.635579666	87.1	989.4	A
43	44	Spectrogram 1	1	350.087518831	350.430049041	364.1	981.5	A
48	49	Spectrogram 1	1	389.321593641	389.578491298	102.9	562.0	A
49	50	Spectrogram 1	1	389.911506779	390.292095901	71.2	601.6	A
51	52	Spectrogram 1	1	390.786861759	391.062788872	15.8	728.2	A
52	53	Spectrogram 1	1	391.681246194	391.938143851	63.3	791.5	A
53	54	Spectrogram 1	1	392.651748454	392.918160839	87.1	688.6	A
56	57	Spectrogram 1	1	419.851557743	420.479529793	7.9	1060.7	A
63	64	Spectrogram 1	1	457.307311132	457.497605693	498.7	831.1	A
66	67	Spectrogram 1	1	481.985717491	482.309218245	688.6	1187.3	A
95	96	Spectrogram 1	1	656.353931216	656.639373057	182.1	759.9	A
109	110	Spectrogram 1	1	714.653655566	715.329201257	221.6	554.1	A
123	124	Spectrogram 1	1	774.932443348	775.236914645	324.5	1060.7	A
130	131	Spectrogram 1	1	822.996185775	823.272112889	633.2	1274.4	A
148	149	Spectrogram 1	1	954.029476907	954.419580756	95.0	815.3	A
