	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
5	10	Spectrogram 1	1	63.587412562	64.080022373	0.0	966.4	A
12	19	Spectrogram 1	1	108.022370216	108.457779888	109.4	572.4	A
15	22	Spectrogram 1	1	70.203986104	70.49717921	58.4	700.6	A
17	24	Spectrogram 1	1	111.418634926	111.984078774	97.3	895.2	A
18	26	Spectrogram 1	1	112.245858333	112.832244546	136.2	973.1	A
21	29	Spectrogram 1	1	121.706590358	122.125437653	77.8	1050.9	A
34	42	Spectrogram 1	1	205.971048124	206.410837784	583.8	1342.9	A
45	53	Spectrogram 1	1	264.180464398	264.902975982	363.7	757.6	A
82	93	Spectrogram 1	1	422.594097469	423.285195506	268.868	778.302	A
83	94	Spectrogram 1	1	428.609810493	429.028657788	382.075	1018.868	A
109	120	Spectrogram 1	1	545.217122404	545.793037435	240.149	1020.635	A
115	126	Spectrogram 1	1	579.672616318	580.049578883	142.61	891.311	A
129	141	Spectrogram 1	1	643.730205737	644.31659195	239.496	907.563	A
137	149	Spectrogram 1	1	732.400365576	732.756385777	378.151	781.513	A
148	160	Spectrogram 1	1	765.070529581	765.719742888	415.966	1109.244	A
151	163	Spectrogram 1	1	768.840155236	769.353243172	352.941	1084.034	A
180	192	Spectrogram 1	1	921.976280606	922.395127901	75.63	680.672	A
183	195	Spectrogram 1	1	953.065296073	953.494614551	491.597	1033.613	A
